,name,phase,label,w,h
0,CNV-4244160-117.jpeg,train,CNV,512,496
1,CNV-829402-1.jpeg,train,CNV,512,496
2,CNV-172472-350.jpeg,train,CNV,512,496
3,CNV-1112835-312.jpeg,train,CNV,512,496
4,CNV-732516-25.jpeg,train,CNV,512,496
5,CNV-4951152-4.jpeg,train,CNV,512,496
6,CNV-9642260-282.jpeg,train,CNV,512,496
7,CNV-1188386-352.jpeg,train,CNV,1536,496
8,CNV-8602230-5.jpeg,train,CNV,512,496
9,CNV-8833506-53.jpeg,train,CNV,512,496
10,CNV-6451562-8.jpeg,train,CNV,1536,496
11,CNV-8598714-177.jpeg,train,CNV,768,496
12,CNV-6741522-140.jpeg,train,CNV,768,496
13,CNV-7902439-18.jpeg,train,CNV,768,496
14,CNV-987193-41.jpeg,train,CNV,768,496
15,CNV-375851-14.jpeg,train,CNV,768,496
16,CNV-1305450-16.jpeg,train,CNV,512,496
17,CNV-3759893-9.jpeg,train,CNV,768,496
18,CNV-876285-35.jpeg,train,CNV,512,496
19,CNV-7792808-7.jpeg,train,CNV,768,496
20,CNV-908456-24.jpeg,train,CNV,512,496
21,CNV-5457415-14.jpeg,train,CNV,512,496
22,CNV-5434564-32.jpeg,train,CNV,512,496
23,CNV-9935363-116.jpeg,train,CNV,768,496
24,CNV-933576-159.jpeg,train,CNV,512,496
25,CNV-9734808-71.jpeg,train,CNV,512,496
26,CNV-4631261-24.jpeg,train,CNV,512,496
27,CNV-8783825-157.jpeg,train,CNV,512,496
28,CNV-732516-163.jpeg,train,CNV,512,496
29,CNV-1912508-15.jpeg,train,CNV,512,496
30,CNV-6581164-60.jpeg,train,CNV,512,496
31,CNV-4921238-5.jpeg,train,CNV,512,496
32,CNV-1290410-164.jpeg,train,CNV,512,496
33,CNV-4612183-79.jpeg,train,CNV,512,496
34,CNV-4244160-14.jpeg,train,CNV,512,496
35,CNV-457527-3.jpeg,train,CNV,512,496
36,CNV-6493580-276.jpeg,train,CNV,768,496
37,CNV-1188386-323.jpeg,train,CNV,512,496
38,CNV-8833506-120.jpeg,train,CNV,512,496
39,CNV-4020729-96.jpeg,train,CNV,768,496
40,CNV-6215140-97.jpeg,train,CNV,1536,496
41,CNV-1290410-92.jpeg,train,CNV,512,496
42,CNV-5557306-91.jpeg,train,CNV,1536,496
43,CNV-8684044-2.jpeg,train,CNV,768,496
44,CNV-781814-118.jpeg,train,CNV,768,496
45,CNV-4884091-38.jpeg,train,CNV,768,496
46,CNV-9320911-275.jpeg,train,CNV,768,496
47,CNV-1130960-7.jpeg,train,CNV,512,496
48,CNV-9297624-4.jpeg,train,CNV,512,496
49,CNV-4412124-40.jpeg,train,CNV,1536,496
50,CNV-1016042-152.jpeg,train,CNV,512,496
51,CNV-178673-3.jpeg,train,CNV,768,496
52,CNV-5674369-233.jpeg,train,CNV,768,496
53,CNV-451136-170.jpeg,train,CNV,768,496
